Address,Minute,Blue kills,Blue deaths,Kill freq,Blue kill freq,Blue death freq,Red structures taken,Blue structures lost,Structure freq,Blue structure freq,Red structure freq,Blue gold,Gold diff,Delta gold diff,Blue win
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/30030?gameHash=fbb300951ad8327c,1,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2415.0,0.0,0.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/30030?gameHash=fbb300951ad8327c,2,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2415.0,0.0,0.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/30030?gameHash=fbb300951ad8327c,3,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2711.0,-14.0,-14.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/30030?gameHash=fbb300951ad8327c,4,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3887.0,-65.0,-65.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/30030?gameHash=fbb300951ad8327c,5,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,5068.0,-268.0,-268.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/30030?gameHash=fbb300951ad8327c,6,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,6171.0,-431.0,-417.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/30030?gameHash=fbb300951ad8327c,7,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,7412.0,-488.0,-423.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/30030?gameHash=fbb300951ad8327c,8,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,8661.0,-789.0,-521.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/30030?gameHash=fbb300951ad8327c,9,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10154.0,-494.0,-63.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/30030?gameHash=fbb300951ad8327c,10,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,11361.0,-625.0,-137.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/30030?gameHash=fbb300951ad8327c,11,1,0,0.2,0.2,0.0,0,0,0.0,0.0,0.0,12677.0,-1044.0,-255.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/30030?gameHash=fbb300951ad8327c,12,1,0,0.2,0.2,0.0,0,0,0.0,0.0,0.0,14558.0,-313.0,181.0,True
