Address,Minute,Blue kills,Blue deaths,Kill freq,Blue kill freq,Blue death freq,Red structures taken,Blue structures lost,Structure freq,Blue structure freq,Red structure freq,Blue gold,Gold diff,Delta gold diff,Blue win
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110098?gameHash=5859e05051fdabbe,26,6,15,1.0,0.0,1.0,1,5,0.4,0.0,0.4,35729.0,-8262.0,-2234.0,False
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110098?gameHash=5859e05051fdabbe,27,6,17,1.2,0.0,1.2,1,7,0.8,0.0,0.8,37065.0,-11375.0,-4200.0,False
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110098?gameHash=5859e05051fdabbe,28,6,17,1.2,0.0,1.2,1,7,0.6,0.0,0.6,38028.0,-13023.0,-4434.0,False
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110098?gameHash=5859e05051fdabbe,29,6,20,1.6,0.0,1.6,1,10,1.0,0.0,1.0,39968.0,-12213.0,-3951.0,False
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110111?gameHash=ad821d17a6a45dde,1,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2415.0,0.0,0.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110111?gameHash=ad821d17a6a45dde,2,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2425.0,10.0,10.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110111?gameHash=ad821d17a6a45dde,3,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2740.0,30.0,30.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110111?gameHash=ad821d17a6a45dde,4,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3921.0,-156.0,-156.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110111?gameHash=ad821d17a6a45dde,5,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,5193.0,-86.0,-96.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110111?gameHash=ad821d17a6a45dde,6,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,6688.0,267.0,237.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110111?gameHash=ad821d17a6a45dde,7,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,8120.0,386.0,542.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110111?gameHash=ad821d17a6a45dde,8,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,9486.0,473.0,559.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110111?gameHash=ad821d17a6a45dde,9,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10490.0,210.0,-57.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110111?gameHash=ad821d17a6a45dde,10,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,11996.0,241.0,-145.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110111?gameHash=ad821d17a6a45dde,11,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,13578.0,454.0,-19.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110111?gameHash=ad821d17a6a45dde,12,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,14951.0,333.0,123.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110111?gameHash=ad821d17a6a45dde,13,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,16313.0,393.0,152.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110111?gameHash=ad821d17a6a45dde,14,2,0,0.4,0.4,0.0,0,0,0.0,0.0,0.0,17663.0,157.0,-297.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110111?gameHash=ad821d17a6a45dde,15,2,0,0.4,0.4,0.0,0,0,0.0,0.0,0.0,19893.0,1361.0,1028.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110111?gameHash=ad821d17a6a45dde,16,2,0,0.4,0.4,0.0,1,0,0.2,0.2,0.0,21320.0,1327.0,934.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110111?gameHash=ad821d17a6a45dde,17,2,0,0.4,0.4,0.0,1,0,0.2,0.2,0.0,23468.0,2051.0,1894.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110111?gameHash=ad821d17a6a45dde,18,2,0,0.4,0.4,0.0,1,0,0.2,0.2,0.0,24964.0,1883.0,522.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110111?gameHash=ad821d17a6a45dde,19,2,1,0.2,0.0,0.2,1,1,0.4,0.2,0.2,26320.0,1805.0,478.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110111?gameHash=ad821d17a6a45dde,20,2,1,0.2,0.0,0.2,1,2,0.6,0.2,0.4,27669.0,484.0,-1567.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110111?gameHash=ad821d17a6a45dde,21,2,1,0.2,0.0,0.2,1,2,0.4,0.0,0.4,29241.0,-292.0,-2175.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110111?gameHash=ad821d17a6a45dde,22,2,1,0.2,0.0,0.2,2,2,0.6,0.2,0.4,30739.0,-347.0,-2152.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110111?gameHash=ad821d17a6a45dde,23,2,1,0.2,0.0,0.2,2,2,0.6,0.2,0.4,33070.0,704.0,220.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110111?gameHash=ad821d17a6a45dde,24,2,1,0.0,0.0,0.0,2,2,0.4,0.2,0.2,34409.0,148.0,440.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110111?gameHash=ad821d17a6a45dde,25,4,2,0.6,0.4,0.2,2,2,0.2,0.2,0.0,35993.0,361.0,708.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110111?gameHash=ad821d17a6a45dde,26,5,2,0.8,0.6,0.2,2,2,0.2,0.2,0.0,38018.0,997.0,293.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110111?gameHash=ad821d17a6a45dde,27,5,2,0.8,0.6,0.2,3,2,0.2,0.2,0.0,39991.0,1143.0,995.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110111?gameHash=ad821d17a6a45dde,28,5,2,0.8,0.6,0.2,3,2,0.2,0.2,0.0,42229.0,2136.0,1775.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110111?gameHash=ad821d17a6a45dde,29,6,3,1.2,0.8,0.4,4,2,0.4,0.4,0.0,43811.0,2332.0,1335.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110111?gameHash=ad821d17a6a45dde,30,8,4,1.2,0.8,0.4,6,2,0.8,0.8,0.0,47735.0,4861.0,3718.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110111?gameHash=ad821d17a6a45dde,31,8,4,1.0,0.6,0.4,7,2,1.0,1.0,0.0,50306.0,6101.0,3965.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110111?gameHash=ad821d17a6a45dde,32,12,6,2.2,1.4,0.8,9,2,1.2,1.2,0.0,52727.0,6785.0,4453.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110111?gameHash=ad821d17a6a45dde,33,12,6,2.2,1.4,0.8,10,2,1.4,1.4,0.0,56217.0,8396.0,3535.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110111?gameHash=ad821d17a6a45dde,34,12,6,1.8,1.2,0.6,11,2,1.4,1.4,0.0,57709.0,8021.0,1920.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110111?gameHash=ad821d17a6a45dde,35,12,6,1.2,0.8,0.4,11,2,1.0,1.0,0.0,59895.0,9178.0,2393.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110111?gameHash=ad821d17a6a45dde,36,13,8,1.8,1.0,0.8,11,2,0.8,0.8,0.0,60884.0,8547.0,151.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110111?gameHash=ad821d17a6a45dde,37,15,8,1.0,0.6,0.4,11,2,0.4,0.4,0.0,62312.0,7371.0,-650.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110117?gameHash=f03c8ac2897345bf,1,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2415.0,0.0,0.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110117?gameHash=f03c8ac2897345bf,2,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2415.0,0.0,0.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110117?gameHash=f03c8ac2897345bf,3,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2705.0,-6.0,-6.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110117?gameHash=f03c8ac2897345bf,4,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,4060.0,19.0,19.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110117?gameHash=f03c8ac2897345bf,5,0,1,0.2,0.0,0.2,0,0,0.0,0.0,0.0,5492.0,138.0,138.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110117?gameHash=f03c8ac2897345bf,6,1,1,0.4,0.2,0.2,0,0,0.0,0.0,0.0,6884.0,-333.0,-327.0,True
